Wehrmacht	ver-mákt
Lansdowne	lándszdáun
Lansing Municipal	lenszing muniszipál
Lant Pritchett	lent pricset
Lantos	lan-tos
Laon-Soissons	láón szoászónsz
Laplace	láplász
Largo Caballero	lárgó kábájjeró
Larry Niven	leri níven
Larry Page	lerri péjdzs
Larrynek	lerrinek
Larsen	lárszen
Las Vegas	lászvegász
Las Vegasszal	lászvegász-szal
Lascelles	lászölz
Laser Interferometer Gravitational-Wave Observatory	lézör intergerométer gravitéjsönöl obszőrvötri
Laser Interferometry Space Antenna	lézer interferometri szpész ántená
Lassalle	lászál
Lateranus	láteránusz
Latium	lacíjum
Latona	lato-na
Lattre	látrö
Laud	laúd
Laudalo	laudáló
Laue	lau-i
Lauffen	laufen
Launch	láuncs
Laura	lorá
Laurá	lorá
Laura Murphyt	lora mörfi
Laurelwoodot	lorel-vúdot
Laurie Segallt	lori szegált
Lausanne	lüzánn
Laval	lávál
Lavoro	lávorró
Lavr Kornyilov	lávr kornyilov
Lawrance Ford	laurensz ford
Lawrence Livermore National Laboratoryban	laurensz livörmór nesönel labratoriben
Lawrence Suliivan	laurensz száliven
Lawrence Summers	lau-rensz számörsz
Lawson	lószon
Laycock	léjkák
Lazlar Lyricon	lázlár lürikon
LB	elbé
Le Havre	löávrö
Leadership Conference	lídörship konferensz
Leah Pearlman	lí pörlmen
Leahy	líhi
Leathers	ledörsz
Lebensraum	lébensz-raum
Lebrun	lebrön
Leclerc	löklerk
Lecter	leh-ter
Ledru-Rollin	lödrü rolan
Leeb	lé-éb
Leeds	lídsz
Lefort	löfort
Legio	légió
Lehmann	léman
Leibniz	lejbnitc
Leibowitz	lejbovitc
Leiche	lájhe
Leigh-Mallory	líj málori
Leila	lejla
Leissnert	lájsznert
Lelag-Leng	leláng leng
Leletko	leletkó
Leljusenko	leljusenkó
Lemaitre	lömetr
Lemuria	lemúrija
lend lease	lend líz
Lendvai-Bainton	lendvai bájnton
Leng	leng
Lenkey	lenkei
Lennie	leni
Leon	león
Léon Blum	léon blúm
Leonard	leo-nárd
Leonard Susskind	lenörd szászkind
Leonardo	leonárdó
Leonardón	leonárdón
Leone	leóne
Leonhard Euler	lenonárd ójler
Leónidasz	leonidász
Leonira	leonírá
Leonora Christine	leonor krisztín
Leotükhidasz	leotükidász
Lepidus	lepidusz
Leptisnél	leptisznél
Lesbiához	leszbijához
Leslie Howard	lezli haovárd
Lester Holt	leszter holt
Leszczynski	lesz-tzinszki
Letchworth	lecs-vörsz
Letitia James	letisha dzsémsz
Letterman	letörmen
Leuven	löven
Levy	liváj
Levy Wash	lévi vas
Lewandowski	levándovszki
Lewis	lújisz
Lewis Carroll	lúisz kerol
Lex Salica	leksz száliká
Leyla	lejla
Leyte	lejt
LHC	elhácé
Liangsan	lijáng-szán
Liber	líber
Libertate	liber-táte
Libra	libra
Librevilleben	líbrevillben
Licata	likátá
licentia ubique docendi	licencijá ubík docendi
Liciniae Sextiae	litcinijé szeksztijé
Licinius Crassus	lutci-niusz krasszusz
Lick Observatory	likk obszőrvötri
Lida	li-da
Liebknecht	líb-knekt
Liége	lijezs
Lieseral	lizerál
Life	láyf
Lige	lijezs
Light	lájt
LIGO	ligó
Likud	líkud
Lilburne	lil-börn
Lillet	lílet
Lillian	lilijen
Lima News	líma nyúz
Lincoln	linkoln
Lindbergh	lind-berg
Linder	lind-er
Lindsey Graham	lin-dzi grehem
Linear Accelerator Center	liniör ökszelerétör szenter
Lingayeni	lingejni
Lingua Centaurin	lingva kentaurin
Lipset	lipszet
Lipskit	lipszkit
LISA	lisza
Lisa Randall	liza rendel
Lise Meitner	liz mejtner
Lissánál	lizzánál
Liszenko	liszenkó
Little	litöl
Littorio	littórijó
Livadia	livádia
Live	lájv
Livermore National Laboratoryban	levörmór nesönel llebretöriben
Liviának	lívijának
Livingston Parish	livingszton perish
Livius Andronicus	lívijusz andrónikusz
Liviusnak	lívijusznak
Liza	li-za
LMP	elempé
Locarno	lokárnó
Locarnó	lokárnó
Locarnóban	lokárnóban
Locarnót	lokárnót
Loch	lokk
Locke	lokk
Lockheed	lokhíd
Lodgepole	lodzs-pól
Lodovico	lodovíkó
Lodovico Gritti	kodovíkó grit-ti
Loggia	lodzsa
Loire	loár
Loki	lo-ki
Lola Montezhez	lolá montezhez
Lomar	lomár
Lomax	lomaksz
Lombardia	lombardija
Lombardiából	lombardiából
Lone	löün
Long Island	long ájlend
Longinus	longinusz
Longwy	longvi
Lónyay	lónyai
Loolu	lúlu
Lopez	lop-ez
Lord Cardigan	lord kardigán
Lord Castlereagh	lord kászölöre
Lord Dunsany	lord dánszöni
Lord Kelvin	lord kelvin
Lord Palmerston	lord pálmerszton
Lord Raglan	lord ráglán
Lord Ravlight	lord réjlájt
Lord Raylcight	lord réjlájt
Lord Rayleight	lord réjlájt
Lordnak	lord-nak
Lorentz-Fitzgerald	lorentc fidzseráld
Lorenzo	lorenzó
Lorient	lorijan
Los Angeles	losz ándzselesz
Losse	losszi
Lothar	lotár
Lothian	lótijen
Lough Gill	láf zsill
Louhce Raymon	lúhsz réjmon
Louis Barthou	lují bártó
Louis Montesquieu	lují monteszkijő
Louis Mountbatten	lují máuntbátön
Louis Pasteur	lují pásztőr
Louis-Auguste Blanqui	lují ogüszt blankí
Louisiade	lujizijád
Louisiana	lújzijáná
Louisianában	lujzijánában
Louisianát	lujzijánát
Louisville	lujivill
Lound	láund
Lounds	láundsz
Lounds Lincoln Versailles	láundsz linkoln verszáj
Lounge	londzs
Lousville	lujivill
Louvain	lűven
Louvois	lövoá
Louvre	lúvrö
Love	láv
Lovecrafté	lávkráfté
Lovecraftiana	lávkráftijáná
Lovecraftnak	lávkráftnak
Lovecraftot	lávkráftot
Lovelance	lávlensz
Lowenstein	lóen-stejn
Lower Regent Streeten	lóer rédzsönt sztríten
Lowrance	lorensz
Loyola	lojola
LSD	elesdé
Lübeck	lübek
Lublin	lub-lin
Luca	luká
Lucanust	lukánuszt
Lucasfilm	lukászfilm
Lucasian	luükázián
Luccia	lúcsija
Lucie	lúcsije
Lucius	lútcijusz
Lucius Tarquinius Superbus	lutsiusz tárkíniusz szuperbusz
Lucius Tillius Cimber	lutciusz tilliusz tsimber
Lucretia	lukrécija
Lucullus	lukullusz
Ludwig Boltzmann	ludvig boltcman
Ludwig Börne	ludvig börn
Ludwig Cobenzl	ludvig kobenszl
Ludwig Erhard	ludvig erhárd
Ludwig Erhardt	ludvig er-hárt
Ludwig Feuerbach	ludvig fójer-bach
Ludwig Freude	ludvig frójde
Ludwig Prinn	lúdvig prin
Ludwig Wittgenstein	lidvig vitgenshtejn
Luftwaffe	luft-váffe
Luftwaffénak	luft-váffénak
Luftwaffét	luft-váffét
Lugdunum	lug-dunum
Lugos	lúgos
Luitpold	lujítpold
Lukianosz	lukiánosz
Lula	lúla
Lumdra	lumdra
Luna	lúna
Lüneburgi Fenyéren	lűneburgi fenyéren
Lunéville	lünevil
Lungarno	lun-gárnó
Lungarnó	lun-gárnó
Lunkwill	lánkvil
Lupa	lúpa
Lupercusok	luperkúzoszok
Lury	löri
Lusitania	luzitánia
Lusitaniát	luzitániját
Luther Burbank	lut-er börbenk
Luther King	lu-ter king
Lütjens	lűtjensz
Luxembourg	lukszenburg
Luxemburg	luxem-burg
Lwów	lövóv
Lycra	likra
Lycrá	likrá
Lyme Regis	lím rézsísz
Lympne	límpn
Lyndon	lindon
Lynehamből	linhemből
Lynton	linton
Lyon	lijon
Lyonban	lijonban
Lysanderből	lizánderből
Lyttelton	littelton
Maas	mász
Maas-Antwerpen	mász ant-verpen
Maas-Leuven-Antwerpen	mász lőven ant-verpen
Maason	mászon
MAC	mek
Macarena	mákáréná
Macarená	mákáréná
Macarthur	mekártúr
Macartney	mekkártni
Macaulaytól	mekólitól
Macaura	mákura
Macdougall	mekdágöl
Machiavelli	mákjávelli
Machina	máhíná
MACHO	mácsó
Machu Picchura	macsi picsura
Maci Laci	maci-laci
Mackenzie	mekenzí
Mackenzie Kinget	mekkenzi kinget
Maclean	meklén
Macmillan	mekmilen
Macmillannek	mekmilennek
Maconbe	mákomb
Macrinus	mákrinusz
Macron	mákron
Macugava	mácu-gává
Macuoka	matcu-óka
Macuokát	matcu-ókát
Madame	mádám
Madame Curie	mádám kürí
Madeira	mádejrá
Madelyn	medlin
Madison Square Garden	mediszon szkver gárdön
Madonna	mado-nna
Madras	mádrász
Maduro	mádúró
Maecenasnak	mtcénásznak
Maecenast	mecénászt
Maffeo	máffejó
Magadha	mag-ada
Magadhának	mag-adának
Magadhára	magadára
Magától	magától
Magdala	mágdálá
Magdalena	magda-léna
Magdelene	mágdá-lén
Magenta	mag-enta
Maghreb	mágreb
Maginot	mázsínó
magister militum	mágiszter milícijum
Magna	mag-na
Magna Graeciának	mag-na grékijának
Magnalia Christi Americanájába	mágnálijá kriszti amerikánájába
Magnentiusnak	mágnencijusznak
Magnészia	magnészija
Magnificó	mányifíkó
Magnum	mag-num
Magnus	mág-nusz
Mago	mágó
Magramal	mágrámel
Magramelről	mágrámelről
Mahabharata	mahaba-rata
Mahábhárata	mahaba-rata
Mahal	má-hál
Mahdi	mádi
Mahiko Suzuki	máhikó szuzuki
Mahoney	máhoni
Mainban	májnban
Mainzban	májncban
Maison Blanche	mezón blansh
Maison Rouge	mézön rúzs
Maitland	méjtlend
Majikhtise	mádzsiktisz
Majikthise	mádzsiktisz
Maji-Maji	mági mági
Majmonidész	majmonidész
Major	méjdzsör
Majubáért	májubáért
Makeda Wubneh	mákedá vubneh
Makkabeus	maka-beus
Makkabeusnak	maka-beusnak
Malabar	málábár
Malajzia	malaj-zija
Malaves	málávesz
Malaya	málájá
Malaysiából	malajzijából
malenkij robot	málenkíj robot
Malenkov	málenkov
Malka	malka
Mallen	mállen
Mallorcán	majorkán
Malmédytől	málméditől
Máltát	máltát
Maltby	máltbi
Mamertinus	mámárcínusz
Manből	menből
Manche	máncs
Manchester	mencseszter
mancipium	máncípijum
Mandalajban	mándálájban
Mandel	mándel
Mandich	mándics
Mandics	mándics
Mandrel	mendröl
Mandy	mendi
Mandzsukuo	mándzsukó
Mane	mén
Manethón	máne-tón
Mang	máng
Manhattan	menhetten
Manhattanben	menhettenben
Manifesto	mánifesztó
Mannerheim	mánner-heim
Mannheimer Zeitung	mánnhejmer tzájtung
Mannstein	mánn-stejn
Mans	man
Manstein	mán-stejn
Manston	mánszton
Mant	ment
Mantes	mant
Manton	mánton
Mantova	man-tova
Manuel Silva	mánuel szilvá
Manuelerődöt	mánuel erődöt
Manufacturing	menöfekcsöring
Many Dimensions	meni dájmenzsönsz
Mapp	mápp
Mapquest	mápkveszt
Maquis	mákí
Marat	márát
Marathon	mara-ton
Marble Head	márböl hed
Marc Andreessen	márk endresszen
Marc Benioff	márk bejnoff
Marc Bodnick	márk bodnik
Marcel	márszel
Marcel Grossmann	márszel groszmen
MARCELL	márszel
Marcellinus	márcellínusz
Marcellus	mártcellusz
Marcelo Fuhrman	márcselló fűrman
March	márcs
Marchand	márshan
Marche	mársh
Marché	mársé
Marcia su Roma	márcsijá szu rómá
Marciának	mársának
Marciasu	márszijászku
Marciát	mársát
Marcius	már-cius
Március	március
Márciusi	mártciusi
Marco	márkó
Marconi	márkóni
Marcus	márkusz
Marcus Antonius	márkusz antóniusz
Marcus Brutus	márkusz brútusz
Marcus Junis Brutus	márkusz júnisz brútusz
Marcus Octavius	márkusz oktávijusz
Marcus Vispasianus	márkusz viszpáziánusz
Mardoniosz	márdónijosz
Mareth	máret
Margaret	márgáret
Margaret Geller	márgáret gel-ler
Margaret Thatcher	márgáret szecsör
Margerie	márdzsöri
Margivalban	márdzsivölben
Marguerite Schmitt	márgáret smitt
María	máríjá
Maria Antoinette	márí ántoánett
Marian	merijen
Marian Rejewski	máriján redzsevszki
Marica	mar-ica
Marie	márí
Marie Antoinette	márí ántoánett
Marienburgban	márijen-burgban
Marigny	márini
Marija	máríjá
Marilyn	merilin
Marinidák	márinidák
Maris	márisz
Marissa Mayer	márisszá mejer
Marius	márijusz
Mark	márk
Mark Twain	márk tvéjn
Mark Warnerrel	márk vórnerrel
Mark Zucker	márk cukker
Mark Zuckerberg	márk cukkerberg
Market	márket
Markheim	márk-hejm
Markizova	márkizova
Marlborough	marl-boró
Marmontel	mármontel
Marne	márn
Marois	mároá
Marquis Chasteler	márkí shásztöler
Marrákes	márákes
Marrakesben	mara-kesben
Marrakesből	márákesből
Marrakest	márákest
Marry Plummert	mári plámört
Mars	mars
Marshfield	márshfíld
Marston	mársztón
Martha	mártá
Marthy	márti
Martin Gardner	mártin gárner
Martin Luther King	mártin lu-ter king
Martin Rees	mártin ríz
Martinec	mártinek
Martinique	mártinik
Martinuzzi	mártinudzzi
Martis	mártisz
Martius	márciusz
Marvells	márvelsz
Marx	marksz
Mary College	méri kálidzs
Maryland	merilend
Marzuki Darusman	márzáki dáröszmen
Masaccio	mázáccsó
Masami Yamasaki	mászámi jámászáki
Masaryk	mázárik
Mason	mézön
Massachusetts	meszecsúszetsz
Massachusettsben	meszecsúszetszben
Massimo Stivavelli	másszimó sztivávéli
Massinissa	másszinisszá
Massive Compact Halo Object	messzív kámpekt héló ábdzsekt
Mastama	masztama
Mastarnáról	masztarnáról
Matapan	mátápán
Mathews	mettyúz
Matrúhba	mátrúba
Matrúhnál	mátrúnál
Matt Cohler	mett kólen
Matt Damon	mett démon
Matt Danzeisen	mett denszízen
Matt Schissler	mett shiszler
Mattathiásnak	máttátijásznak
Matteo	mátteó
Matteo Villani	máteó villáni
Matteottit	mátte-ottit
Matter	mettör
Matthew	mettyú
Matthew Perry	mettyú perri
Matthews	mettyúz
Matthys	mátísz
Matuska	mat-uska
Mauer	mau-er
Mauna	ma-una
Maupas	mopá
Maupassant	mópásszan
Maupertois	mópörtoá
Mauritius	maurítziusz
Maurja	maujra
Mauthausen	maut-hauzen
Mauthhausen	maut-hauzen
Maverhill	mevörhill
Mawson	mószon
Maxentius	mákszencijusz
Maxet	mekszet
Maxim	mákszim
Maximianus	mákszimijánusz
Maximilien Robespierre	mekszimilijen robeszpijer
Maximus	mákszimusz
Maxine Waters	mekszin vótörsz
Maxine Williamset	mekszin vilijemszet
Maxi-Slorta	makszi-szlorta
Mayapan	májápán
Mayernek	mejernek
Mazarin	mázárin
Mazzarini	mádzzáríni
Mazzini	máddzíni
MCCLANE	mekléjn
Mcilvenna 	meklíverná
MDF	emdéef
MDNP	emdéenpé
Mechanics	meköniksz
Mecklenburgba	meklenburgba
Medici	medicsi
Mediciek	medicsiek
Medina	med-ina
Mediolanumban	medio-lánumban
Mediolanumot	medijolánumot
Meditermaeum	mediterráneum
Mediterraneum	mediterráneum
Mediterrnaeum	mediterráneum
MEDLKFMI	em-e-dé-el ká-ef-em-í
Medzsid	medzsid
Meeks	míksz
Megara	megárá
Meggido	megid-dó
Meggidót	megid-dót
Mehmed	meh-med
Meidzsi	mejidzsi
Meiktila	mejktilá
Mein Kampf	májn kámf
Mein Kampfom	májn kámfom
Mekcsey	mekcsei
Mekka	mek-ka
Mekkát	mek-kát
Melanchton	melánk-ton
Melania Trump	meláni trámp
Melbourne	melbőrn
Melinda Gates	melinda géjtsz
Melissa	melissza
Mellon	melön
Melqart	melkár
Memel	memmel
Memeptah	memep-tá
Memorandum	memo-randum
Memorial	memorijál
Memphis	memfisz
Memphisben	memfiszben
Memphisz	memfisz
Memphisznél	memfisznél
Memphiszt	memfiszt
Menandrosz	menandrosz
Mendelssohn	mendelzon
Menés	ménész
Mengel	men-gel
Menlo	menló
Menlo Park	menló park
Menton	mentön
Mercia	merszija
Mercier	mörszijé
Mercurii	merkúrí
Mercurius	merkúriusz
Mercury Grand Marquis	mörkjuri grán márkez
Mercy	mörszi
Merida	meri-da
Merkclt	Merkelt
Merkur	merkúr
MERLIN	merlin
Merseburg	merze-burg
Mersey	mörszi
Mertz	merrtz
Mésa	mésa
Meseritz	mezeric
Messaginget	meszödzsinget
Messalinát	messzálínát
Messenger	meszendzser
Messiah	messzájá
Messina	messzina
Messinában	messzinában
Messor	messzor
Messzénia	mesz-szénija
Messzéniába	mesz-szénijába
Messzéniát	messzéniját
Mester	mester
Metcalf	metkálf
Metcalf-Barnes	metkálf bárnsz
Metcalfot	metkálfot
Methods	metodsz
Metis	metish
Metropolitan	metropoliten
Metternich	metter-nih
Mettrie	metrijé
Metzbe	metc-be
Metztől	metc-től
Meurice	mürisz
Meuse	mőz
Meyrick Clifton James	mejrik klifton dzsémsz
Méziéres	mezijer
MFB	emefbé
MHB	emhábé
MI	emmi
Miami	májámi
Mianmar	mijánmár
Michacl Collinst	májköl kolinszt
Michael	májköl
Michael Bywaternek	májköl bájvóternek
Michael Codner	Májköl kodnör
Michael Corleone	májköl korleóne
Michael Faraday	májköl feredéj
Michael Flynn	májköl flinn
Michael Gove	májköl góv
Michael Lynton	májköl lin-ton
Michael Morris	májöl morisz
Michael Nankin	májköl nánkin
Michael Phelps	májköl felbsz
Michael Redgrave	májköl redgrév
Michael Trevane	májköl trivéjn
Michael Turner	májköl törnör
Michael Zucker	májköl tcukker
Michaelson	mikáelszon
Michaelson-Morley	mikáelszon-mórli
Michailovic	mihájlovics
Micheal	májköl
Michel	mishel
Michelangelo	mikelándzseló
Michelier	miselijé
Michell	micsel
Michelle	mi-sel
Michelnek	miselnek
Michelt	miselt
Michigan	micsigen
Michiganben	micsigenben
Michnay	miknai
Mickiewicz	mikijevitc
Microsoft	májkroszoft
Middlebury	midöl-böri
Midi	mi-di
Midrás	midrász
Miesko	mijeszkó
Mieszko	mijeszkó
Miggs	migsz
Miguel Alcubierre	migel álkubír
Miguel Serveto	migel szervetó
Mihajlo Idvorski Pupin	mihájló idvorszki pápin
Mihajlovic	mihájlovics
Mihajlovie	mihájlovics
Mihállyal	mihájjal
Mike	máyk
Mike Green	máyk grín
Miklas	miklász
Mikojan	mikoján
Mikolajczyk	mikolájcsik
Miközben Columba	miközben kolumbija
Miksának	miksának
Mikus	mik-ush
Miles Lampson	májlsz lámpszön
Mileva Maric	milevá merik
Milica	milika
Militaire	militer
Military Tribunal	militeri tribünnel
Millan	mili-jen
Miller	mil-ler
Mills	millsz
Milos Obrenovic	milosh obrenovics
Milovan Gyilas	milován gyilás
Miltiadész	miltijádész
Milton Friedman	mil-ton frídmen
Milvius	mílviusz
Mincemant	minszment
Minden-Egyet	minden eggyet
Minerva	miner-va
Minetti	mine-tti
minister Dei	miniszter deji
Minka Kaim	minká kájim
Minkszet	minszket
Minneapolisban	mineápoliszban
Minnesotába	mineszotában
Minnesotában	mineszotában
Minnesotából	mineszotából
Minor Béta	min-or béta
Mint	mint
Minutes	minitsz
Miracles	mirökölz
Miranda	mir-anda
Mircea	mirtceá
Misa	mísa
Mischa	mísá
Misericordia	mizerikórdijá
Miskatonic	miskatonik
Mískatonic	miskatonik
Misna	misna
Misnát	misnát
Misner	miszner
Mississippi	missziszipi
Missouri	misz-szurri
MIT	emájtí
Mithrasz	mitrász
Mithrászt	mitrászt
Mithridatész	mitridátész
Mitterand	mitte-ran
Miura	mjúrá
Mize	májz
MKB	emkábé
MLSZ	emelesz
MNB	emenbé
Mochica	mohika
Model	mo-del
Modena	mo-dena
Modern Scholarship Reinvents	modern szkolör-ship rein-ventsz
Moerbeke	morbéke
Moesia	mőzija
Mogiljov	mogljiov
Mogli	mojji
Mogul	mo-gul
Mogul Birodalom	mo-gul birodalom
Mohan	mo-hán
Mohendzso	mohen-dzsó
Moira	mójra
Mojmír	mojmír
MOL	mol
Molay	moléj
Molly	molli
Moloch	molok
Molocsko	molocskó
Mologyecsnónál	málogyecsnónál
Molokh	molok
Molotov	molo-tov
Molson	mólszon
Moltke	molt-ke
Moltke Sedannál	molt-ke szedánnál
MOMO	momó
Monarchi	monarhi
Monarchia	monarhia
Monarkha	monarha
Mond	mond
Monde	món
Monfalconén	monfálkónén
Monfort	monfort
Monika Bickert	mónika bikert
Moniteur	monitőr
Monnet	moné
Monophthalmosz	monoftálmosz
Monroe	monró
Monroviába	monrovijába
Monst	monszt
Montagu	montá-gú
Montalk	mon-tók
Montana	montáná
Montanába	montánában
Montcalm	món-kálm
Monte Cassino	montekásszínó
Monte Cassinóban	monte kásszínóban
Montecuccoli	monte-kukkoli
Montenegro	montenegró
Montesquieu	monteszkijő
Montgomery	mongo-merri
Monthermé	montermé
Montijo	montihó
Montini	montíni
Montmartre	mónmárt
Montmirailnál	mónmirájnál
Montoireba	montoába
Montrachet	mónráset
Montsalvat	mónszálvát
Montserrat	monszerrát
Monty Python	monti pájtont
Montyt	montit
Monumentum Anchyranumnak	monumentum ánkiránumnak
Moore	múr
Morava	morává
Moravská Ostrava	morávszká osztrává
Morawskit	morávszki
Morea	moreá
Morgan	morgen
Morgartennél	mórgártennél
Morgenthau	morgentau
Moriah	mórija
Mormon	mor-mon
Morrison	moriszon
Morrogh	moró
Morryster	morriszter
Morshead	morszhed
Mortain	mórten
Morus	mórusz
Moselen	mózel
Moselig	mózelig
Moselle	mőüzel
Moshe Dayan	mósh dáján
Mosont	moszont
Mosquito	moszkító
Most	moszt
Moth	moth
Motion Picture Association	mósön pikcsörsz összósiéjsön
Motor World	motor vörd
Motorsnak	motorsznak
Moulin	mulen
Moulton	múlton
Mount Everest	mont evereszt
Mount Pleasantben	máunt plezöntben
Mount Stromlo	mont sztomló
Mount Wilson Observatory	máunt vilzon obszőrvötri
Mountain View	máuntön vjú
Mountbatten	mónbátten
Mouritain	máuritán
Mown	món
Moyne	mójn
Mozart	mótzárt
Mozart 	mócárt
Mozdokot	mozdokot
MPB	empébé
MPK	empéká
MRS	miszisz
MSN	emeshen
MSZDP	em-esz-dé-pé
MSZMP	em-esz-em-pé
MSZOSZ	emeszóesz
MSZP	emeszpé
Mszúsz	mszúsz
Mszúszt	möszúsz
MTA	emté-a
MTA TK PTI	emté-a téká pété-í
Mtalból	mtálból
Mthurán	mturán
MTI	emté-í
MTV	emtíví
Mucius Scaevola	múcijusz szkájevóla
Mufasa	mufasza
Mufasát	mufaszát
Muharram	muhárám
Muhhamed	mohamed
Mühlberg	műl-berg
Mühldorf	műldorf
Muir	muir
Mulvius	mulvijusz
München	münhen
Munda	munda
Munkáspárt	munkás-párt
Münnich	mün-ich
Münster	mün-szter
Münzer	müntzer
Mura	mu-ra
Murat	murát
Murciát	mursziját
Muroideam	mürójdím
Murphy	mörfi
Murray	mörri
Murray Butler	möréj bátlör
Murray Gell-Mann	möréj gell-men
Murray Rothbard	murai rótbárd
Murro	murró
Museo Nacional	múzeó nászijonál
Mussfeld	müszfeld
Mussolini	musz-szolíni
Mussolininak	musz-szolíninak
Mustang	musztáng
Mustapha Mond	musztafa mond
Muthul	mutul
MVM	emvéem
MVP	emvépé
MYRIA	myrija
Myspace	májszpéjsz
NAACP	enéjéjszípí
Nabuccója	nabukkója
NAFTA	nafta
Nagan	nágán
Nagy Bumm	nagy búm
Nagy Constantinus	nagy konsztantínusz
Nagy Constantinusnak	nagy konsztantínusznak
Nagy Homoksivatagban	nagy homok-sivatagban
Nagyfattyúm	nagy-fattyúm
Nagygöncöl	nagy göncöl
Namsosnál	námszosznál
Namsostól Mosjeenbe	námszosztól moszdzsínbe
Namurön	námurön
Nance Garner	nenszi gárner
Nancy	nenszi
Nancyból	nánsziból
Nancynál	nánszinál
Nane	na-ne
Nanna	nan-na
Nano	na-nó
Nansen	nánzen
Nantes	nánsz
Naomi Gleit	náomi glájt
Napoleon	napóleon
Napóleon	napó-leon
Napster	nepszter
Narbonensis	nárboneszisz
Narbonne	nárbon
Narendra Modi	nerendrá múdi
Narew	nárev
Nargis-Heinek	nárgisz hejnek
Narragansett	nárágánszett
Narthos	nártosz
NASA	náza
Nasht	nesht
Natal	nátál
Nathan Rosen	néten rózen
Nathan Rothschild	nátán rótcsíld
Nathaniel	netenijel
Nathaniel Gleicherrel	netenijel glájcherrel
Nath-Horthaht	nát hotát
Nath-Horthath	nát hotát
National	nesönel
National Electric Light Association	nesönel elektrik lájt összósiéjshön
National Enquirer	nesönel inkvájörör
National Gallerynek	nesönel gelörinek
National Geographic	nesönel dzseográfik
National Institute	nesönel insztitút
National Optical Astronomy Observatoryban	nesönel optiköl ásztonomi obszőrvötriben
National Tatiler	nesönel tetler
National Tattler	nesönel tetler
National Telautograph Company	nesönel teleautográf kámpöni
NATO	nátó
Nature	néjcsör
Naujoks	Nójdzsoksz
Nausaia	nau-szijá
Nautilus	nau-tílusz
Navarino	návárrínó
Navarra	návárrá
Navas	návrász
NAVY	néjvi
Nazareth	názáret
Nazca	nászká
Nazione	nátcijóne
Nazioné	nátcijóné
Nazi-Soviet Relations	nátci szovjet riléjsönz
NBC	enbíszí
NBS	enbíesz
Nebraska	nebraszka
Necker	nek-ker
Necronomicon	nekronomikon
Nedeczky	nedetzki
Neebu	níbú
Neervindennél	nervindnél
Neil	níl
Neisse	nejsze
Neisséig	nejszéig
Neissén	nejszén
Neissére	nejszére
Nelson	nelzon
Nelson Oszlopa	nelzon oszlopa
Nelsonra	nelzonra
Nema	néma
Nemo	némó
Nepemiah Derby	nepemájá derbi
Nepos	neposz
Neptun	neptún
NEQ	eníkjú
NER	ne-r
Nero	néró
Nerón	nérón
Neróra	néróra
Nerót	nérót
Nerva	nervá
Nesselrode	nesz-szelród
NET	net
Netscape	netszkéjp
Neufinck	nójfink
Neuilly	nöjí
Neukirchen	nójkir-sen
Neumann	nójman
Neurath	nójrát
Neurophysiology	neuro-pszájkolodzsi
Neustadter	nój-shtátter
Neustria	neusztrija
Neustriához	neusztrijához
Neustriát	neusztriját
Neutron Pörlekedő	neut-ron pörlekedő
Nevel Kingston-Brown	néjvel kingszton bráun
Neveu	növő
Neveu-Schwarz-Ramond	növő-shvartc-rémond
Nevile Henderson	nevil henderszon
Neville Chamberlain	nevil csembörléjn
New Cosmos	nyú kozmosz
New Deal	nyú díl
NEW ENGLAND	nyú inglend
New Historiographical Approach	nyú hisztoriografikál öprócs
New Jerusalem Bible	nyú jeuzsálem bájböl
New Jnternational Version Study Bible	nyú internesönen vörzsön sztádi bájböl
New Testament	nyú tesztöment
Newall	nyú-öl
Newark	nyúárk
Newfoundland	nyúfunland
Newman	nyúmen
Newport	nyúport
News	nyúz
Newsweek	nyúzvík
Newton	nyúton
NGC	endzsíszí
NGO	endzsí-ó
Ngranek	ngránek
Ngwale	ngvále
NHB	enhábé
Nhing	níng
Nibelung	níbellung
Nicaeában	níkeában
Niccoló	nikkoló
Nichiro Nambu	nicsiró námbu
Nicholas	nikolász
Nick Clegg	nikk kledzs
Nickelsburg	nikkelsz-burg
Nickles Adare	nikölsz adár
Nicolas Chauvin	nikolá shovan
Nicole Pinsky	nikól pinszki
Nicolo Pesce	nikólo pes-se
Niels	nílsz
Nielsen	nílzen
Niers	nírsz
Nietzsche	nícse
Nieuwenhuizen	níven-hujtcen
Nieuwpoort	nyúport
Nigel Wilmott	nájdzsel vilmot
Niger	níger
Nijmegent	nájméjgent
Nikatór	nikátór
Niké	niké
Nikephorosz	nikefórosz
Niképhorosznak	nikéfórosznak
Nikiasszal	nikijásszal
Nikiasz	nikijász
Niklas	nikász
Niko	nikó
Nikola Tesla	ni-kola teszla
Nikolat	nikolát
Nikolsburgban	nikolsz-burgban
Nikon	ni-kon
Nisápur	niszáp-ur
Nith	nít
Nivelle	nivel
Nixon	nik-szon
Nizza	nidz-dza
Nizzát	nidz-dzát
No pasaran!	nopászárán
Nobel	nóbel
Nobile	nóbile
Noblie	nóbile
Noctuid	noktujid
Noel	no-el
Noel Coward	noel káoörd
Nogués	nojesz
Nomura	nom-ura
NORAD	norád
Norah	nórá
Nore	nór
Noricum	norrikum
Norma	nor-ma
Normale Superior	normál szuperior
Norman Davis	normen déjvisz
Norman Vincent Peale	normen vinszent píl
Norrie	norrí
